Word	V	A	D	Anger	Disgust	Fear	Joy	Sadness	Surprise	Danger	Resource_Value	Social_Bond	Goal_Proximity	Is_Expanded
a ton	0.214	-0.09	0.108	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.8	0.5	0.6	1
a touch	0.172	-0.09	-0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.3	0.8	0.6	1
a treat	0.536	-0.174	0.124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8	0.7	1
a while	0.034	-0.222	-0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.2	0.5	0.4	1
aaaaaaah	-0.042	0.212	-0.418	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.1	0.3	0.2	1
aaaah	0.04	0.272	-0.436	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.1	0.4	0.3	1
aardvark	-0.146	-0.02	-0.126	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.7	0.1	0.6	1
aback	-0.23	-0.186	-0.424	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.1	0.3	0.2	1
abacus	0.02	-0.448	-0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.5	0.7	1
abalone	0.0	-0.04	-0.176	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.8	0.2	0.7	1
abandon	-0.896	0.038	-0.599	0.0	0.0	1.0	0.0	1.0	0.0	0.7	0.1	0.1	0.1	1
abandoned	-0.908	-0.038	-0.74	1.0	0.0	1.0	0.0	1.0	0.0	0.7	0.2	0.1	0.2	1
abandoner	-0.667	0.667	-0.704	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.1	0.0	0.2	1
abandonment	-0.744	-0.14	-0.596	1.0	0.0	1.0	0.0	1.0	1.0	0.8	0.1	0.0	0.1	1
abase	-1.0	0.556	-0.958	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.1	0.2	0.2	1
abased	-1.0	-0.667	-0.917	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.1	0.2	0.2	1
abasement	-1.0	-0.333	-0.958	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.1	0.2	0.2	1
abash	-0.667	-0.667	-0.833	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.1	0.3	0.3	1
abashed	-0.646	0.288	-0.386	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.1	0.3	0.3	1
abashedly	-0.667	-0.619	-0.958	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.1	0.3	0.3	1
abashment	-0.815	-0.519	-0.778	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.1	0.3	0.3	1
abatable	0.5	-0.583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.4	0.5	0.7	1
abate	-0.49	0.392	0.208	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.5	0.5	0.8	1
abatement	-0.224	-0.324	-0.328	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.5	0.5	0.8	1
abba	0.124	0.0	-0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.5	0.9	0.7	1
abbey	0.16	-0.266	-0.112	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.6	0.7	0.6	1
abbot	-0.146	-0.358	-0.034	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.4	0.8	0.6	1
abbreviate	0.062	-0.25	-0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.5	0.7	1
abbreviated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.5	0.6	1
abbreviation	-0.062	-0.388	-0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.6	0.7	1
abbreviator	0.0	0.556	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.5	0.6	1
abdicate	-0.667	-0.667	-0.889	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.2	0.3	0.3	1
abdication	-0.619	-0.63	-0.714	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.2	0.3	0.3	1
abdicator	-0.667	-0.619	-0.917	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.2	0.3	0.3	1
abdomen	-0.062	-0.076	-0.058	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.5	0.5	0.5	1
abdominal	-0.02	-0.088	-0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.4	0.5	0.5	1
abdominally	0.0	-0.519	-0.292	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.3	0.5	0.5	1
abduct	-0.654	0.44	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.1	1
abducted	-0.905	0.667	-0.556	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.1	0.1	1
abductee	-0.714	0.619	-0.958	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.1	0.4	0.2	1
abduction	-0.876	0.917	-0.276	0.0	0.0	1.0	0.0	1.0	1.0	0.9	0.0	0.0	0.1	1
abductor	-1.0	0.714	0.833	0.0	0.0	0.0	0.0	0.0	0.0	0.95	0.0	0.0	0.05	1
aberrant	-0.708	0.53	-0.138	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.2	0.2	0.3	1
aberration	-0.75	0.632	-0.166	0.0	1.0	0.0	0.0	0.0	0.0	0.5	0.2	0.3	0.3	1
aberrational	-0.667	0.5	-0.375	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.2	0.3	0.3	1
abet	-0.333	0.667	0.741	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.3	0.5	0.5	1
abeyance	-0.34	0.02	-0.416	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.2	0.5	0.3	1
abhor	-0.75	0.204	-0.302	1.0	1.0	1.0	0.0	0.0	0.0	0.6	0.1	0.1	0.2	1
abhorrence	-0.666	0.368	-0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.1	0.1	0.2	1
abhorrent	-0.542	0.5	-0.052	1.0	1.0	1.0	0.0	0.0	0.0	0.7	0.1	0.1	0.2	1
abhorrently	-1.0	-0.074	0.074	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.1	0.1	0.2	1
abhorring	-1.0	0.704	0.833	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.1	0.1	0.2	1
abide	0.27	-0.292	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.4	0.7	0.6	1
abide by	-0.134	-0.076	-0.434	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.5	0.8	0.7	1
abider	0.667	-0.667	0.037	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.5	0.7	0.6	1
abiding	0.592	-0.346	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.5	0.7	0.6	1
abilities	1.0	0.056	0.708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.6	0.9	1
ability	0.75	0.02	0.563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.6	0.9	1
abiotic	-0.042	-0.667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.4	0.0	0.4	1
abject	-0.292	0.18	-0.166	0.0	1.0	0.0	0.0	0.0	0.0	0.6	0.1	0.2	0.1	1
abjection	-1.0	-0.667	-0.952	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.1	0.2	0.1	1
abjectly	-0.958	-0.458	-0.792	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.1	0.2	0.1	1
abjectness	-1.0	-0.762	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.1	0.2	0.1	1
abjudicate	0.0	0.571	0.963	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.2	0.3	0.3	1
ablation	-0.164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.3	0.4	0.5	1
ablaze	-0.594	0.847	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.3	0.0	0.1	1
able	0.572	0.0	0.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.5	0.9	1
able bodied	0.138	-0.092	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.5	0.8	1
abloom	0.917	-0.167	-0.083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.2	0.4	1
ably	0.708	0.667	0.778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.4	0.8	1
abnormal	-0.726	0.208	-0.382	0.0	1.0	0.0	0.0	0.0	0.0	0.4	0.1	0.3	0.2	1
abnormality	-0.816	0.31	-0.234	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.1	0.2	0.1	1
abnormally	-0.667	0.042	-0.296	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.1	0.2	0.2	1
abnormity	-0.667	-0.259	-0.444	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.2	0.1	1
aboard	0.396	-0.432	-0.038	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.4	0.5	0.6	1
abode	0.24	-0.396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.8	0.7	0.7	1
abolish	-0.104	0.23	0.058	1.0	0.0	0.0	0.0	0.0	0.0	0.3	0.2	0.3	0.5	1
abolishable	-0.292	-0.667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.2	0.3	0.4	1
abolisher	-0.667	0.667	0.917	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.2	0.4	0.4	1
abolishment	-0.267	-0.667	0.619	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.1	0.3	0.4	1
abolition	-0.354	0.38	0.058	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.1	0.3	0.4	1
abolitionary	0.667	0.444	0.458	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.1	0.3	0.4	1
abolitionism	0.778	0.667	0.778	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.1	0.4	0.4	1
abolitionist	0.958	0.667	0.917	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.2	0.5	0.5	1
abominable	-0.76	0.462	-0.036	0.0	1.0	1.0	0.0	0.0	0.0	0.7	0.0	0.1	0.1	1
abominableness	-1.0	-0.667	-0.593	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.1	0.1	0.2	1
abominably	-1.0	-0.583	-0.611	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.1	0.1	0.2	1
abominate	-0.604	0.576	-0.268	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.1	0.1	0.2	1
abomination	-0.844	0.51	0.036	1.0	1.0	1.0	0.0	0.0	0.0	0.8	0.1	0.0	0.1	1
abominator	-1.0	0.481	0.667	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.1	0.1	0.2	1
aboriginal	-0.104	-0.146	0.084	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.5	0.5	0.5	1
aboriginality	0.037	-0.571	0.143	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.5	0.5	0.5	1
aborigine	0.0	0.0	-0.444	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.5	0.5	0.5	1
abort	-0.694	0.372	-0.142	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.2	0.3	0.3	1
abortion	-0.836	0.54	-0.434	0.0	1.0	1.0	0.0	1.0	0.0	0.5	0.2	0.3	0.2	1
abortionist	-0.667	0.619	0.963	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.3	0.4	0.3	1
abortive	-0.82	0.552	-0.44	0.0	0.0	0.0	0.0	1.0	0.0	0.4	0.1	0.3	0.1	1
abortively	-0.667	0.667	-0.792	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.1	0.3	0.1	1
abound	0.408	-0.02	0.362	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.9	0.5	0.8	1
about	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.2	0.4	0.4	1
about face	-0.31	-0.134	0.034	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.3	0.3	0.5	1
about time	0.258	0.016	-0.062	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.4	0.5	0.7	1
about to	-0.13	-0.18	-0.242	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.4	0.4	0.6	1
above	0.314	-0.286	0.068	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.5	0.5	0.6	1
above all	0.334	-0.06	0.206	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.5	0.5	0.8	1
above average	-0.032	0.068	0.382	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.6	0.6	0.7	1
above water	0.38	-0.048	0.034	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.6	0.5	0.8	1
aboveboard	0.714	-0.533	0.571	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.4	0.8	0.6	1
aboveground	0.333	-0.095	0.259	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.5	0.5	0.6	1
abovementioned	0.082	-0.404	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.5	0.5	1
abracadabra	0.346	0.264	-0.132	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.1	0.4	0.3	1
abrasion	-0.188	0.184	-0.118	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.1	0.3	0.2	1
abrasive	-0.216	0.22	0.186	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.3	0.1	0.3	1
abrasively	-0.667	0.625	0.857	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.1	0.1	0.2	1
abrasiveness	-0.542	0.611	-0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.2	0.1	0.2	1
abreast	0.27	-0.24	0.038	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.4	0.7	0.7	1
abridge	0.0	0.593	0.481	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.3	0.3	0.4	1
abridged	0.0	-0.583	-0.375	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.4	0.4	0.5	1
abridgement	-0.222	-0.625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.4	0.4	0.5	1
abridgment	-0.278	-0.667	0.458	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.4	0.4	0.5	1
abroad	0.354	0.192	0.122	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.5	0.3	0.5	1
abrogate	-0.346	0.02	0.188	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.2	0.2	0.3	1
abrupt	-0.458	0.638	0.09	0.0	0.0	0.0	0.0	0.0	1.0	0.5	0.2	0.3	0.3	1
abruption	-0.667	0.667	-0.481	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.1	0.2	0.1	1
abruptly	-0.5	0.616	0.112	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.2	0.3	0.3	1
abruptness	-0.667	0.63	0.148	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.1	0.3	0.3	1
abscess	-0.692	-0.098	-0.302	0.0	0.0	0.0	0.0	1.0	0.0	0.85	0.05	0.15	0.1	1
abscond	-0.667	0.667	0.542	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.15	0.1	0.2	1
absconder	-0.667	0.667	-0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.1	0.1	0.15	1
absence	-0.694	-0.53	-0.468	0.0	0.0	1.0	0.0	1.0	0.0	0.35	0.1	0.3	0.3	1
absent	-0.646	-0.558	-0.768	0.0	0.0	0.0	0.0	1.0	0.0	0.35	0.1	0.3	0.3	1
absentee	-0.53	-0.34	-0.442	0.0	0.0	0.0	0.0	1.0	0.0	0.3	0.15	0.3	0.3	1
absenteeism	-0.192	-0.454	-0.286	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.1	0.2	0.2	1
absently	-0.185	-0.667	-0.63	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.1	0.3	0.25	1
absentminded	-0.667	-0.583	-0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.1	0.3	0.2	1
absentmindedly	0.0	-0.458	-0.625	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.1	0.3	0.2	1
absentmindedness	-0.667	-0.667	-0.625	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.1	0.3	0.2	1
absentness	-0.389	-0.905	-0.958	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.1	0.3	0.25	1
absinthe	-0.038	0.02	-0.076	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.4	0.5	0.3	1
absolute	0.052	0.02	0.82	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.4	0.5	0.8	1
absolutely	0.222	0.037	0.833	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.3	0.8	0.85	1
absolutely not	-0.448	-0.08	-0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.2	0.25	0.35	1
absoluteness	0.619	-0.714	0.815	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.3	0.4	0.65	1
absolution	0.43	0.0	0.328	0.0	0.0	0.0	1.0	0.0	0.0	0.1	0.35	0.9	0.8	1
absolutism	-0.167	-0.444	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.2	0.15	0.4	1
absolutist	-0.074	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.1	0.2	0.2	1
absolvable	0.708	-0.333	-0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.3	0.7	0.6	1
absolve	0.368	-0.102	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.4	0.8	0.7	1
absolvent	0.533	0.0	0.667	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.3	0.7	0.6	1
absolver	1.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.4	0.8	0.7	1
absorb	-0.062	0.116	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.8	0.4	0.7	1
absorbability	0.333	-0.792	-0.083	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.7	0.3	0.6	1
absorbable	0.444	-0.458	0.222	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.8	0.3	0.7	1
absorbance	0.0	-0.167	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.5	0.2	0.5	1
absorbed	-0.02	-0.058	0.038	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.5	0.3	0.6	1
absorbedly	0.238	-0.667	-0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.3	0.3	0.5	1
absorbedness	0.0	-0.667	-0.542	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.3	0.3	0.5	1
absorbency	0.667	-0.333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.7	0.3	0.6	1
absorbent	0.104	-0.212	0.436	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.8	0.3	0.6	1
absorber	0.0	-0.458	-0.167	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.7	0.3	0.6	1
absorbing	-0.02	-0.02	0.156	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.6	0.4	0.6	1
absorption	0.218	-0.156	-0.108	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.9	0.3	0.8	1
absorptive	0.25	0.667	-0.208	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.7	0.3	0.6	1
abstain	-0.23	-0.23	-0.146	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.4	0.5	0.6	1
abstainer	-0.286	-0.667	-0.037	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.4	0.6	0.6	1
abstention	-0.458	-0.472	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.3	0.5	0.4	1
abstentious	-0.238	-0.667	-0.375	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.4	0.5	0.4	1
abstinence	-0.48	-0.216	-0.142	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.3	0.4	0.3	1
abstinent	0.667	-0.952	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.4	0.5	0.4	1
abstinently	-0.333	-0.75	-0.458	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.3	0.4	0.4	1
abstract	-0.124	-0.416	-0.112	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.5	0.3	0.5	1
abstractedly	0.0	-0.524	-0.296	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.2	0.2	0.2	1
abstractedness	0.0	-0.963	-0.292	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.2	0.2	0.2	1
abstracter	0.0	0.667	0.259	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.5	0.4	0.5	1
abstraction	-0.062	-0.122	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.5	0.3	0.4	1
abstractionism	0.667	-0.542	0.292	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.3	0.3	0.3	1
abstractionist	0.333	-0.296	0.593	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.3	0.3	0.3	1
abstractive	0.0	-0.292	0.238	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.4	0.3	0.4	1
abstractly	0.0	-0.958	0.143	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.4	0.3	0.4	1
abstractness	0.0	-0.667	-0.048	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.3	0.3	0.3	1
abstractor	0.0	0.593	0.476	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.5	0.4	0.5	1
absurd	-0.624	0.312	-0.432	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.1	0.2	0.1	1
absurdist	-0.333	0.0	0.333	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.2	0.3	0.2	1
absurdity	-0.77	0.056	-0.546	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.1	0.2	0.1	1
absurdly	-0.667	0.167	-0.167	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.1	0.2	0.1	1
absurdness	-0.875	-0.542	-0.333	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.3	0.2	1
abundance	0.624	0.38	0.704	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.6	0.9	1
abundant	0.916	0.18	0.52	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.6	0.9	1
abundantly	1.0	0.0	0.286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.6	0.85	1
abuse	-0.858	0.746	-0.062	1.0	1.0	1.0	0.0	1.0	0.0	0.8	0.0	0.0	0.1	1
abused	-0.958	0.748	-0.53	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.1	0.3	0.2	1
abuser	-0.758	0.41	-0.434	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	1
abusive	-0.75	0.806	0.134	0.0	0.0	0.0	0.0	0.0	0.0	0.85	0.0	0.0	0.1	1
abusively	-0.714	1.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.1	1
abusiveness	-1.0	0.762	0.917	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.1	1
